nombre;tipo_documento;num_documento;direccion;telefono;email;prefijo_celular;aletorio_6_num;tipo_correo;prefijp_correo;num_correo;caracter
Boza Solis, Nelson;DNI;24783014;JIRON Ancash Nº 879/885, HUANCAYO;943297045;nelson_borza96@hotmail.com;943;297045;@hotmail.com;nelson_borza;96;
Calle Betancourt, Cielito Mercedes;DNI;30429821;JIRON Jose Galvez Nº 753-A;975899583;cielito_mercedes89@gmail.com;975;899583;@gmail.com;cielito_mercedes;89;
Caraza Villegas, Isabel Florisa;DNI;51330280;JIRON Ayacucho Nº 141, HUANCAYO;965335395;carazaisabel_20@hotmail.com;965;335395;@hotmail.com;carazaisabel;20;_
Carrera Abanto, Gizella;DNI;23989466;JIRON San Antonio Nº 708;979520511;gizellaca.88@gmail.com;979;520511;@gmail.com;gizellaca;88;.
Carrillo Segura, Estalins;DNI;33196944;PASAJE Castro Nº 175, HUANCAYO;975781875;carrilloe71@hotmail.com;975;781875;@hotmail.com;carrilloe;71;
Carrión Neira, Jorge Augusto;DNI;65769008;AVENIDA DANIEL A. CARRIÓN Nº 1355 Int 2;967141005;jorgecv.42@gmail.com;967;141005;@gmail.com;jorgecv;42;.
Casapia Valdivia, Guillermo ;DNI;20727982;JIRON Alfa S/N Mz U Lt 21 - Ref: S. ELEC. 67838767;978375340;guillermo34@gmail.com;978;375340;@gmail.com;guillermo;34;
Chancos Mendoza, Zarita;DNI;37870313;JR CONQUISTADORES Nº 980, EL TAMBO;972709751;chancos_zarita.72@hotmail.com;972;709751;@hotmail.com;chancos_zarita;72;.
Chirinos Lacotera, Carlos;DNI;44362094;CALLE Los Quinguales Nº 155;946923186;chirinosmz_93@hotmail.com;946;923186;@hotmail.com;chirinosmz;93;_
Cores Moreno, Doris;DNI;31525632;CALLE CUCARDAS Nº 186 - 3 CUADRAS DEL COLEG.LA ASUNCION-URB LAS RETAMAS DE;972996128;doriscm35@hotmail.com;972;996128;@hotmail.com;doriscm;35;
Cortez Lozano, Maribel Corina;DNI;37007023;JR RAMON CASTILLA S/N, APATA;952919434;maribel_corina54@hotmail.com;952;919434;@hotmail.com;maribel_corina;54;
Crispin Quispe, Angel;DNI;71957271;JIRON Ayacucho Nº 137, HUANCAYO;960234629;angel_crispin52@gmail.com;960;234629;@gmail.com;angel_crispin;52;
De Loayza Conterno, Antonio ;DNI;24756994;JIRON Piura Nº 264, HUANCAYO;955249537;antonioloayza_49@gmail.com;955;249537;@gmail.com;antonioloayza;49;_
Diaz Salinas, Ana Maria;DNI;45946754;JIRON Piura Nº 264, HUANCAYO;975155341;diaz_salinaam_11@gmail.com;975;155341;@gmail.com;diaz_salinaam;11;_
Dueñas Aristisabal, Antonio ;DNI;12910431;JIRON Don Bosco Nº 260, HUANCAYO;974147960;dueñas_antonio17@hotmail.com;974;147960;@hotmail.com;dueñas_antonio;17;
Espinoza Arana, Yuliana;DNI;15337855;AVENIDA Ocopilla Nº 123;948300359;yuliana.28@gmail.com;948;300359;@gmail.com;yuliana;28;.
Fernandez Guzman, Carlos Enrique;DNI;29993230;AVENIDA DANIEL A. CARRIÓN Nº 1357, HUANCAYO;947166482;carlos_fer.29@hotmail.com;947;166482;@hotmail.com;carlos_fer;29;.
Fernandez Matta, Esther Aurora;DNI;28397320;AVENIDA DANIEL A. CARRIÓN Nº 1357, HUANCAYO;978398388;esther_aurora62@gmail.com;978;398388;@gmail.com;esther_aurora;62;
Ferro Salas, Olga;DNI;65631626;AVENIDA Daniel A. Carrión Nº 1355 Int 4;955711454;ferroolga34@gmail.com;955;711454;@gmail.com;ferroolga;34;
Flores Romero, Edwin;DNI;34069562;URBANIZACION EL RETAMAL Mz G Lt 7 - Ref: EN EL JIRON QUISHUAR;943199669;floresedwin54@gmail.com;943;199669;@gmail.com;floresedwin;54;
Gamarra Astete, Roberto;DNI;30830866;PRLG MARISCAL CACERES Nº 395 - Ref: ENTRE CACERES Y FLORIDA;968925967;gamarra_roberto.20@gmail.com;968;925967;@gmail.com;gamarra_roberto;20;.
Gamio Lozano, Gloria;DNI;77533710;JIRON Alfa S/N Mz T Lt 11 - Ref: COOP. SANTA ISABEL;957500581;gamio_gloria62@hotmail.com;957;500581;@hotmail.com;gamio_gloria;62;
García Peralta, Miriam;DNI;26118662;AVENIDA Arica Nº 570, HUANCAYO;973307515;miriamgarcia_72@hotmail.com;973;307515;@hotmail.com;miriamgarcia;72;_
Gonzales Del Valle Maguiño, Arturo;DNI;62295621;JIRON Huancas Nº 1575;971298186;gonzales_arturo56@gmail.com;971;298186;@gmail.com;gonzales_arturo;56;
Gonzales Huilca, Marlene Victoria;DNI;18510569;JIRON Los Comuneros Nº 681 - Ref: ENTRE HUANUCO Y TARAPACA.;972161830;ghmarlene.79@gmail.com;972;161830;@gmail.com;ghmarlene;79;.
Gonzales Medina, Elsa Patricia;DNI;58949425;PROLONGACION Cuzco Nº 2420 - Ref: ULTIMA CDRA. DE CUZCO;972191932;elsaGM27@hotmail.com;972;191932;@hotmail.com;elsaGM;27;
Gutierrez Velez, Javier;DNI;45804283;AVENIDA Santivañez Nº 1807, HUANCAYO;960746853;gutierrezjavier_31@hotmail.com;960;746853;@hotmail.com;gutierrezjavier;31;_
Guzman Chinag, Elena Rosavelt;DNI;75925917;PASAJE Tupac Amaru Nº 148 - Ref: SAN CARLOS;942216870;guzman_elena_32@hotmail.com;942;216870;@hotmail.com;guzman_elena;32;_
Guzman Quispe, Clara;DNI;21692799;PROLONGACION CUZCO Nº 2410, HUANCAYO - Ref: YAURIS;978926252;clara_quispe_56@hotmail.com;978;926252;@hotmail.com;clara_quispe;56;_
Herrera Carbajal, Milagros Susan ;DNI;54984525;JIRON Cuzco Nº 1025;949522681;milagrosherr_car96@gmail.com;949;522681;@gmail.com;milagrosherr_car;96;
Horruitiner Martinez, Guillermo;DNI;46100074;PASAJE Tovar Vega Nº 187, HUANCAYO;961549651;horruitiner_guillermo.82@gmail.com;961;549651;@gmail.com;horruitiner_guillermo;82;.
Huamani Flores, Lourdes;DNI;53584650;JIRON Guido Nº 627;973766689;huamanifl_69@gmail.com;973;766689;@gmail.com;huamanifl;69;_
Huapaya Raygada, Luis Armando;DNI;51415006;CALLE Santa Isabel Nº 283;976264117;huaypayarl_fer57@gmail.com;976;264117;@gmail.com;huaypayarl_fer;57;
Huarcaya Quispe, Marcos;DNI;46407040;PRLG AREQUIPA S/N Mz F Lt 2, EL TAMBO - Ref: COOP. 1ro. DE MAYO;971912089;huarcaya_marcos10@gmail.com;971;912089;@gmail.com;huarcaya_marcos;10;
Huaytan Sauñe, Walter David;DNI;75042940;AVENIDA Taylor Nº 1379-A;965322061;walter_hs76@gmail.com;965;322061;@gmail.com;walter_hs;76;
La Rosa Fabian, Elba Mercedes ;DNI;63366249;AVENIDA San Carlos Nº 494;945806368;elbamercedes55@gmail.com;945;806368;@gmail.com;elbamercedes;55;
Landa Ginocchio, Pedro Guillermo;DNI;63838490;PASAJE Inmaculada Nº 116;979683657;landapedro_23@gmail.com;979;683657;@gmail.com;landapedro;23;_
Llaja Tafur, Roberto Julian;DNI;36757235;JR ICA Nº 198, SAN JERONIMO DE TUNAN;974833487;julianllaja_37@hotmail.com;974;833487;@hotmail.com;julianllaja;37;_
Llenpen Nuñez, Orfelina;DNI;18300994;JIRON Moquegua Nº 1057;973240827;llenpen_orf20@hotmail.com;973;240827;@hotmail.com;llenpen_orf;20;
Lujan Venegas, Hector;DNI;66474158;JR TACNA Nº 450, EL TAMBO;943959865;hector_ven.35@hotmail.com;943;959865;@hotmail.com;hector_ven;35;.
Maguiña San Yen Man, Gissela;DNI;59797461;JIRON Inca Pachacutec Nº 182;947503459;gissela12@hotmail.com;947;503459;@hotmail.com;gissela;12;
Maldonado Quispe, Cosme Adolfo;DNI;43909002;PASAJE MIRAFLORES N° 422, HUANCAYO - Ref: JR APURIMAC Nº 422;974776341;adolfo.52@gmail.com;974;776341;@gmail.com;adolfo;52;.
Maldonado Tinco, Sandra Monica;DNI;37526725;NULL;944975239;sandramonica72@hotmail.com;944;975239;@hotmail.com;sandramonica;72;
Mallqui Celestino, Jenny Maria;DNI;57403349;JIRON Las Dalias Nº 550, HUANCAYO;966242389;jenny_mallqui.16@hotmail.com;966;242389;@hotmail.com;jenny_mallqui;16;.
Mamani Uchasara, Santiago;DNI;29545012;PASAJE Los Alisos = - Ref: MZ G, LT 1.;967795333;mamani_uchasara_44@gmail.com;967;795333;@gmail.com;mamani_uchasara;44;_
Maravi Navarro, Magda Janeth;DNI;69876492;JIRON Piura Nº 116 - Ref: ENTRE FERROCARRIL Y PIURA;956820611;maravi_nav89@hotmail.com;956;820611;@hotmail.com;maravi_nav;89;
Martinez Marquez, Martin;DNI;65620023;CALLE Salcedo Nº 320, HUANCAYO;955805625;martinezmartin38@gmail.com;955;805625;@gmail.com;martinezmartin;38;
Medina Zuta, Oscar Enrique;DNI;51856645;JIRON Piura Nº 116, HUANCAYO;951469729;medina_oe_34@gmail.com;951;469729;@gmail.com;medina_oe;34;_
Melgarejo Vibes, Carlos P;DNI;63445746;MALECON DE LAS WAMBLAS Nº 299 - Ref: YAURIS;956946704;carlosp.56@gmail.com;956;946704;@gmail.com;carlosp;56;.
Miguel Holgado, Elizabeth;DNI;64708290;JIRON Las Retamas Nº 405 - Ref: ESQUINA CON MALECON DE LA WAMBLAS;943204615;elizabeth_miguel24@hotmail.com;943;204615;@hotmail.com;elizabeth_miguel;24;
Mori Ramirez, Manuel Antonio;DNI;19728933;JIRON Las Dalias Nº 550;979229641;mori_manuel34@gmail.com;979;229641;@gmail.com;mori_manuel;34;
Nuñez Huayanay, Carlos Alberto;DNI;16833053;JIRON Las Dalias Nº 550 - Ref: CAJAS CHICO - ALT. JR. ICA;949685874;nuñez_carlos44@gmail.com;949;685874;@gmail.com;nuñez_carlos;44;
Ore Reyes, Olga;DNI;73090706;AVENIDA Huancavelica Nº 229, HUANCAYO;954793096;oreolga_84@hotmail.com;954;793096;@hotmail.com;oreolga;84;_
Orrillo Ortiz, Josue;DNI;33909994;JIRON Mantaro Nº 637;960754130;orrillooj_71@gmail.com;960;754130;@gmail.com;orrillooj;71;_
Orrillo Ortiz, Josué Victor;DNI;37011785;PROLONGACION Piura Antigua Nº 466;943445190;josue_v97@hotmail.com;943;445190;@hotmail.com;josue_v;97;
Pardave Camacho, Carmen Rosa;DNI;49768107;JIRON Alfa Nº 039 Mz P Lt 39 - Ref: COOP. SANTA ISABEL;963830886;pardavecr_47@hotmail.com;963;830886;@hotmail.com;pardavecr;47;_
Paredes Jaramillo, Santiago Victor;DNI;19403507;JR JORGE CHAVEZ Nº 215, EL TAMBO;965993464;santiago_pj33@hotmail.com;965;993464;@hotmail.com;santiago_pj;33;
Pastor Porras, Arturo;DNI;32226626;JIRON Daniel Alcides Carrión Nº 619;959304474;pasto_porras_a11@hotmail.com;959;304474;@hotmail.com;pasto_porras_a;11;
Pinedo Nuñez, Enrique;DNI;49210307;JIRON DANIEL A. CARRIÓN Nº 619;944651865;enriquep.36@hotmail.com;944;651865;@hotmail.com;enriquep;36;.
Prada Vilchez, Sonia;DNI;57324809;PASAJE Primavera Nº 106 - Ref: OCOPILLA.;965646480;soniapv_73@gmail.com;965;646480;@gmail.com;soniapv;73;_
Riega Calle, Gerardo David;DNI;77948163;PROLONGACION Piura Antigua Nº 466, HUANCAYO;951567723;riega_ge.98@hotmail.com;951;567723;@hotmail.com;riega_ge;98;.
Rios Lima, Freddy;DNI;38914895;PROLONGACION Piura Antigua Nº 466, HUANCAYO;971326649;rios_lf.65@hotmail.com;971;326649;@hotmail.com;rios_lf;65;.
Rios Lima, Teresa;DNI;43266571;PROLONGACION Piura Antigua Nº 466, HUANCAYO;948717232;teresarl56@gmail.com;948;717232;@gmail.com;teresarl;56;
Riquelme Miranda, Juan Elvis;DNI;21177803;PROLONGACION Piura Antigua Nº 466;956587487;riquelme_m_85@hotmail.com;956;587487;@hotmail.com;riquelme_m;85;_
Roa Yanac, Georgina Esperanza;DNI;61207668;PASAJE Las Margaritas S/N Mz F Lt 184 - Ref: URB. LAS RETAMAS DE SAN LUIS;979750697;roa_yanac_20@gmail.com;979;750697;@gmail.com;roa_yanac;20;_
Robles Valverde, Rosa Liliana;DNI;74834696;PASAJE Santa Elena Nº 202;944197504;rosarodriguez42@gmail.com;944;197504;@gmail.com;rosarodriguez;42;
Rodriguez Farias, Rosa Josefa;DNI;53879834;PASAJE LA CANTUTA Nº 281/279 - Ref: DEL OVALO DE JOSE OLAYA A 1/2 CDRA.;952534746;rodriguezfarias79@gmail.com;952;534746;@gmail.com;rodriguezfarias;79;
Rojas Valdivia, Maria De Fatima;DNI;28833456;PASAJE LA CANTUTA Nº 263, HUANCAYO;965148824;mari_fatima46@gmail.com;965;148824;@gmail.com;mari_fatima;46;
Romero Gomez Sanchez, Rosa Maria;DNI;13514713;AVENIDA Centenario Nº 313;942550184;rosamaria37@hotmail.com;942;550184;@hotmail.com;rosamaria;37;
Rosales Flores, Carina Magnolia;DNI;12729437;PROLONGACION Centenario Nº 972;946223170;carinarf_magnolia_12@gmail.com;946;223170;@gmail.com;carinarf_magnolia;12;_
Rosas Bonifaz, Carlos Jose;DNI;73331708;PROLONGACION Ica Nº 565 - Ref: ICA - ESTE;967827028;roascm.43@hotmail.com;967;827028;@hotmail.com;roascm;43;.
Ruiz De Castilla Britto, Aida Cristina;DNI;57174348;PROLONGACION Pichis Nº 661, HUANCAYO;952240924;ruiz_aida_57@hotmail.com;952;240924;@hotmail.com;ruiz_aida;57;_
Salcedo Del Pino, Celin;DNI;79864579;AVENIDA José Olaya Nº 498;969278331;salcedo83@hotmail.com;969;278331;@hotmail.com;salcedo;83;
Salinas Puccio, Violeta Marilu;DNI;75682942;CALLE Libertad Nº 139;973698788;salinaspuccio_violeta_14@hotmail.com;973;698788;@hotmail.com;salinaspuccio_violeta;14;_
Sanchez Arone, Augusto;DNI;77267184;JIRON Libertad Nº 139;962846541;sanchez_aug_74@hotmail.com;962;846541;@hotmail.com;sanchez_aug;74;_
Santa Cruz Benssa, Pedro Manuel;DNI;14600655;JIRON Húsares de Junin Nº 960;944373073;santapm.94@hotmail.com;944;373073;@hotmail.com;santapm;94;.
Solano Vargas, Angel;DNI;33130790;JIRON Loreto Nº 1120;960241613;angelsv43@hotmail.com;960;241613;@hotmail.com;angelsv;43;
Tejedo Luna, Jose Alberto;DNI;44316953;JIRON Libertad Nº 139, HUANCAYO;977597605;tejedoluna_jose51@hotmail.com;977;597605;@hotmail.com;tejedoluna_jose;51;
Tenorio Davila, Angel ;DNI;48042045;AVENIDA Alameda de las Flores Nº 14-A, HUANCAYO;948927141;tenori_a59@gmail.com;948;927141;@gmail.com;tenori_a;59;
Torres Gaspar, Miguel Angel ;DNI;40305274;AVENIDA Huancavelica Nº 1280/1282, HUANCAYO;965711921;torresgaspar.45@gmail.com;965;711921;@gmail.com;torresgaspar;45;.
Trujillo Parodi, Jacquelin;DNI;42155590;JR GRAL CORDOVA Nº 807, CHILCA;977188275;jacquelin.14@gmail.com;977;188275;@gmail.com;jacquelin;14;.
Vega Carreazo, Ruth Noricila;DNI;13387310;JIRON ICA NUEVA Nº 1558;953462918;ruth_vcarreazo17@gmail.com;953;462918;@gmail.com;ruth_vcarreazo;17;
Velasquez Ramos, Guillermo Jonathan;DNI;16009885;CALLE Real Nº 500;965715797;guillermo_vela23@hotmail.com;965;715797;@hotmail.com;guillermo_vela;23;
Vera Silva, Alejandro;DNI;33306420;JIRON Guido Nº 221 Edif RESIDEN EL PARQUE SAN CARLOS Dpto 308-D, HUANCAYO - Re;964455360;verasilva76@hotmail.com;964;455360;@hotmail.com;verasilva;76;
Vilca Lucero, Blanca Katty;DNI;26574204;AVENIDA Mártires del Periodismo Nº 1512/1516;947627092;vilca_blanca58@gmail.com;947;627092;@gmail.com;vilca_blanca;58;
Vilgoso Alvarado, Enrique Godofredo;DNI;64972619;CL CAHUIDE S/N, SAN AGUSTIN;948217851;vilgoso_enrique91@gmail.com;948;217851;@gmail.com;vilgoso_enrique;91;
Yamawaki Onaga, Cecilia;DNI;50294401;JIRON DANIEL A. CARRIÓN Nº 808;949802889;yamawakice.50@hotmail.com;949;802889;@hotmail.com;yamawakice;50;.
Zamalloa Vega, Mariela Milagros;DNI;76636948;JIRON LIMA Nº 1986, HUANCAYO - Ref: CERCA AL PARQUE DE MARTIRES DEL PERIODIS;941698638;mariela_zv.11@hotmail.com;941;698638;@hotmail.com;mariela_zv;11;.
Zapata Chang, Monica ;DNI;62292348;AVENIDA Mártires del Periodismo Nº 214;978858516;zegarra_monica_86@gmail.com;978;858516;@gmail.com;zegarra_monica;86;_
Zegarra Salcedo, Juan Carlos;DNI;40836224;CL REAL Nº 1711, CHILCA - Ref: A MEDIA CUADRA ANTES DEL RESTAURANTE GIRASOLES;956924142;juancarlos_z20@hotmail.com;956;924142;@hotmail.com;juancarlos_z;20;
Zu Flores, Hilrich Mariela;DNI;51060106;;947327156;zu_flores56@gmail.com;947;327156;@gmail.com;zu_flores;56;
